First Name,Last Name,Height,Flavour,Country of Origin,Favorite Icecream,Like Liquorice,Times Visited Italy,First Time London,Steps per Day
Richard,Rivera,169.36,Neapolitan,Australia,Mint,0,1,0,4239
Sarah,Thomas,173.23,Strawberry,France,Chocolate,0,1,1,9045
Jane,Cohen,166.94,Rocky Road,Sweden,Stracciatella,1,2,0,6601
Nancy,Williams,185.44,Rocky Road,USA,Vanilla,0,1,0,3215
Christian,Sullivan,155.33,Mint Chocolate Chip,Denmark,Mint,1,1,1,7917
Kathleen,Nelson,175.58,Butter Pecan,France,Chocolate,0,2,0,13316
Sarah,Johnson,162.34,Neapolitan,Denmark,Stracciatella,1,3,1,5070
Jason,Burns,172.15,Strawberry,Japan,Mint,0,1,0,5322
Christina,Merritt,170.96,Mint Chocolate Chip,USA,Pistachio,0,0,0,7935
William,Sullivan,170.93,French Vanilla,France,Vanilla,1,0,0,5758
Corey,Smith,156.17,Pistachio,Australia,Chocolate,1,0,0,10210
Courtney,Diaz,162.35,Mint Chocolate Chip,Denmark,Mint,1,4,0,7156
Richard,Garcia,141.83,Neapolitan,Sweden,Pistachio,1,3,1,4000
Natasha,Baker,179.29,Butter Pecan,Japan,Pistachio,0,1,1,15244
Daniel,Ayala,180.41,Mint Chocolate Chip,China,Mint,1,0,0,8601
William,Aguilar,170.26,Pistachio,UK,Stracciatella,0,0,1,11445
Christopher,Aguilar,171.91,Cookies and Cream,Japan,Mint,0,1,0,5517
Richard,Sloan,173.16,Pistachio,Finland,Pistachio,1,1,0,8258
Robert,Clark,161.47,Cookies and Cream,Australia,Chocolate,0,1,0,9857
William,Miller,177.16,Pistachio,Norway,Mint,1,3,0,14172
Nicholas,Walker,179.21,French Vanilla,Australia,Strawberry,0,0,1,11485
Jennifer,Cain,163.8,Rocky Road,Denmark,Chocolate,1,4,0,5694
Bill,Fritz,165.77,Rocky Road,Finland,Stracciatella,0,1,1,10649
Dominique,White,157.89,Strawberry,Italy,Pistachio,0,0,0,7766
Phillip,Howell,164.0,Pistachio,Denmark,Pistachio,1,3,0,10757
Derek,Taylor,174.02,Vanilla,Australia,Stracciatella,0,1,0,5995
Juan,Moore,187.51,Mint Chocolate Chip,France,Strawberry,0,1,0,6069
Maurice,Smith,162.06,Cookies and Cream,Australia,Vanilla,0,1,0,11089
Duane,Peterson,167.54,Chocolate,Norway,Strawberry,1,1,0,5134
Amy,Garcia,169.49,Mint Chocolate Chip,France,Strawberry,0,1,0,9270
Richard,Black,164.61,Strawberry,China,Strawberry,0,0,0,8795
Lindsey,Lewis,183.22,Rocky Road,Japan,Vanilla,0,1,0,7864
Brandon,Barry,178.66,Cookies and Cream,Germany,Chocolate,0,1,0,13378
Tara,Murphy,162.31,Rocky Road,France,Mint,0,0,0,8671
Jonathan,Reyes,165.98,Vanilla,Norway,Chocolate,1,4,0,7503
Brandon,Kelly,152.17,Cookies and Cream,Norway,Chocolate,1,3,0,11917
Traci,Nicholson,158.81,Strawberry,Canada,Mint,0,0,0,6824
Cynthia,Floyd,168.11,Butter Pecan,Brazil,Strawberry,0,1,0,5232
Trevor,Hicks,165.33,Chocolate,Japan,Mint,0,1,0,5288
Gerald,Frazier,163.74,Chocolate,Brazil,Vanilla,0,0,0,8973
Laura,Kim,179.61,Butter Pecan,France,Mint,1,2,0,10613
Angela,Spence,149.49,Chocolate,Brazil,Pistachio,0,0,0,3962
Christina,Mathis,172.37,Chocolate,Norway,Vanilla,1,0,0,9541
Herbert,Krause,163.02,Strawberry,Finland,Pistachio,1,3,0,8538
Amber,Brown,183.55,Mint Chocolate Chip,Brazil,Mint,0,0,1,2885
Ashley,Owens,185.86,Butter Pecan,USA,Strawberry,0,0,0,1169
Stanley,Fernandez,162.93,Neapolitan,Italy,Stracciatella,1,1,0,7334
Alison,Gilmore,189.95,Cookies and Cream,Denmark,Mint,1,4,0,9265
Mitchell,Hickman,163.53,Neapolitan,Finland,Mint,1,2,0,9018
Samuel,Mitchell,173.12,Mint Chocolate Chip,Japan,Stracciatella,0,0,0,6062
Megan,Shah,173.99,Vanilla,Norway,Pistachio,1,2,0,11150
Scott,Jackson,185.56,Vanilla,Denmark,Pistachio,1,5,1,5408
Andre,Waters,175.33,Strawberry,France,Mint,0,1,0,5798
Jimmy,Chapman,170.78,Rocky Road,France,Strawberry,0,1,1,8108
Jane,Woods,154.14,Vanilla,Brazil,Mint,0,1,0,9959
Jason,Gamble,185.62,Strawberry,USA,Mint,0,0,0,16062
Kevin,Cochran,165.79,Pistachio,China,Stracciatella,0,0,0,14315
Sarah,Shaw,174.94,Pistachio,Sweden,Mint,1,2,0,4660
Paul,White,177.57,Vanilla,Norway,Chocolate,1,2,0,12437
Megan,Thomas,183.93,Butter Pecan,Finland,Mint,1,1,0,9833
Michael,Rodriguez,184.45,Butter Pecan,Germany,Pistachio,0,1,1,7339
Brandy,Collins,172.57,Chocolate,Japan,Vanilla,1,1,0,1796
Veronica,Patterson,171.03,Cookies and Cream,Brazil,Pistachio,0,0,1,7072
Denise,Smith,169.56,Chocolate,UK,Stracciatella,0,2,1,5743
Melissa,Richards,185.27,Mint Chocolate Chip,USA,Vanilla,0,0,1,5341
Sabrina,Anderson,160.77,Vanilla,Sweden,Mint,1,5,0,8805
Carlos,Martinez,163.44,Strawberry,Germany,Mint,0,3,0,10763
James,Williams,166.2,Neapolitan,Germany,Vanilla,0,1,0,6372
Erin,Smith,161.61,Chocolate,Italy,Vanilla,0,0,0,5875
Danielle,Cobb,177.09,Vanilla,Brazil,Strawberry,0,0,0,9028
Carrie,Oconnell,164.33,Neapolitan,France,Mint,1,2,1,9535
Shelia,Chandler,187.63,Butter Pecan,China,Strawberry,0,1,0,7495
Edward,Shaw,187.0,French Vanilla,Denmark,Mint,1,5,0,8175
Lori,Carpenter,170.59,Pistachio,Italy,Chocolate,1,1,0,5765
Tiffany,Lloyd,177.45,Rocky Road,Denmark,Mint,1,0,1,2121
Barry,Richardson,151.99,French Vanilla,Italy,Stracciatella,0,4,0,10197
Jessica,Pacheco,158.98,Rocky Road,Finland,Vanilla,1,5,0,2493
Teresa,Rivera,166.16,Chocolate,Australia,Vanilla,0,1,0,11513
Amy,Richardson,164.4,Chocolate,Norway,Pistachio,1,1,0,5106
Robert,Fernandez,149.82,Butter Pecan,USA,Strawberry,1,1,0,6709
Frank,Evans,163.6,Pistachio,France,Stracciatella,1,1,0,3113
Donald,Richardson,167.87,Rocky Road,Canada,Stracciatella,0,1,0,11817
Lonnie,Green,164.63,Neapolitan,USA,Vanilla,1,0,1,9638
Jessica,Martin,168.9,Pistachio,France,Chocolate,0,0,1,8019
Sarah,Sanchez,168.94,Vanilla,Finland,Vanilla,1,1,0,2588
Amanda,Macias,178.59,French Vanilla,UK,Chocolate,0,0,1,6935
Derek,Lopez,177.77,Cookies and Cream,France,Chocolate,0,5,0,3381
Catherine,Porter,165.3,Mint Chocolate Chip,Australia,Stracciatella,0,0,1,3541
Samantha,Baker,159.03,Mint Chocolate Chip,Canada,Pistachio,0,0,0,7342
Jamie,Farrell,163.06,Vanilla,France,Mint,0,1,1,11683
Nathan,Mcdonald,167.41,Cookies and Cream,Norway,Strawberry,1,3,0,7484
Heather,Cook,178.36,Cookies and Cream,Denmark,Strawberry,1,4,0,4675
Chad,Tyler,168.91,Neapolitan,Germany,Pistachio,0,1,1,15933
Arthur,Rubio,178.03,Pistachio,UK,Stracciatella,0,5,1,3491
Jennifer,Pruitt,163.74,Rocky Road,Norway,Vanilla,1,0,0,9864
Danielle,Davis,150.07,Pistachio,Denmark,Chocolate,0,1,0,6891
Angie,Castillo,171.44,Chocolate,Italy,Pistachio,0,2,0,6213
Abigail,Harris,156.24,Mint Chocolate Chip,Canada,Pistachio,0,0,0,12123
Diane,Coleman,185.16,Neapolitan,USA,Strawberry,0,1,0,9244
Thomas,Lane,174.28,Cookies and Cream,UK,Stracciatella,0,1,1,12475
Thomas,Simmons,163.18,Cookies and Cream,Brazil,Mint,0,0,0,7594
Kevin,Washington,161.3,French Vanilla,Norway,Chocolate,1,2,0,11010
Melissa,Bowman,155.61,French Vanilla,Canada,Pistachio,0,1,1,5085
Jimmy,Robinson,163.3,French Vanilla,Norway,Stracciatella,1,1,0,3861
Nathan,Rogers,179.41,Vanilla,France,Vanilla,1,4,0,9545
David,Wells,185.41,Vanilla,Norway,Strawberry,1,6,0,10146
Joseph,Jones,155.29,Vanilla,Finland,Stracciatella,1,2,0,8320
Nicholas,Anderson,168.19,Chocolate,UK,Vanilla,0,0,1,7595
Vanessa,Higgins,176.96,Pistachio,Denmark,Pistachio,0,2,0,9977
Leah,Mcdonald,177.21,Pistachio,Denmark,Vanilla,1,0,0,10812
James,Johnson,168.67,Chocolate,China,Pistachio,0,0,0,10488
Eric,Olson,169.43,Cookies and Cream,Brazil,Stracciatella,0,0,0,7418
Angelica,Parks,164.31,Mint Chocolate Chip,China,Vanilla,0,1,0,5435
Thomas,Carpenter,174.55,French Vanilla,Japan,Stracciatella,0,0,0,9005
Michael,Olsen,153.42,Neapolitan,China,Vanilla,0,1,0,10421
Loretta,Clark,166.83,Butter Pecan,Finland,Mint,1,3,0,5079
Pamela,Costa,165.9,Chocolate,Finland,Mint,1,2,0,6121
Jason,Cooper,176.98,Vanilla,Canada,Mint,0,1,0,8046
Julie,Ramirez,165.41,Rocky Road,China,Stracciatella,1,0,0,6025
Kevin,Wells,165.66,Mint Chocolate Chip,Finland,Mint,1,2,0,7088
Megan,Blanchard,185.35,Strawberry,Norway,Chocolate,1,4,0,1000
Brandon,Ross,179.16,Chocolate,Brazil,Chocolate,0,1,1,7597
Wendy,Jones,163.87,Strawberry,Norway,Pistachio,1,5,1,9847
Julie,Wagner,174.27,Rocky Road,Sweden,Strawberry,1,3,0,11611
Karen,Mckinney,160.74,Neapolitan,UK,Pistachio,0,2,1,6640
Ryan,Haas,175.1,Strawberry,Denmark,Mint,1,2,0,12357
Phillip,Spence,166.49,Pistachio,Australia,Mint,0,0,0,3338
Gene,Williams,149.75,Mint Chocolate Chip,Finland,Stracciatella,1,3,0,10453
Casey,Robles,170.07,Pistachio,UK,Strawberry,0,2,1,6367
Shawn,Martin,173.54,Rocky Road,China,Chocolate,1,0,0,7511
Megan,Blevins,166.31,Vanilla,Finland,Vanilla,1,0,0,7314
Dominique,Kerr,163.15,Vanilla,Italy,Pistachio,0,2,0,5016
Kevin,Bernard,163.86,Rocky Road,Australia,Chocolate,0,0,0,11160
Keith,Rogers,182.37,Vanilla,Denmark,Mint,1,2,1,5829
James,Peterson,172.49,Neapolitan,UK,Pistachio,0,1,1,10942
Stephanie,Johnston,183.38,Mint Chocolate Chip,Sweden,Mint,1,1,1,5773
Xavier,Bowen,144.24,Pistachio,China,Vanilla,0,2,1,8520
Lisa,Wright,165.92,Chocolate,Australia,Strawberry,0,0,0,8731
Kaitlin,Harmon,153.35,Cookies and Cream,Germany,Mint,0,0,0,7690
Danny,Davis,182.29,Mint Chocolate Chip,France,Strawberry,0,1,0,3070
Miguel,Yoder,161.64,Rocky Road,Denmark,Strawberry,0,4,0,6013
Frank,Jarvis,165.33,Mint Chocolate Chip,China,Strawberry,1,1,0,6206
Derek,Lara,159.28,Neapolitan,UK,Stracciatella,1,3,1,5567
Alexander,Taylor,162.52,Strawberry,Italy,Stracciatella,0,3,1,4227
Matthew,Morales,173.69,Pistachio,Japan,Vanilla,1,1,1,8113
Natalie,Lara,183.1,French Vanilla,Japan,Chocolate,0,0,0,9753
Russell,Trevino,162.69,Pistachio,Canada,Chocolate,1,0,0,14562
Rebecca,Cardenas,170.91,Butter Pecan,Norway,Mint,1,0,1,2316
Sheila,Wilcox,173.62,Rocky Road,Australia,Pistachio,0,0,1,9343
Vanessa,Michael,171.29,Pistachio,Denmark,Chocolate,1,4,0,9113
Tiffany,Lopez,164.64,Rocky Road,Norway,Mint,1,1,0,8569
Chad,Lozano,162.55,Butter Pecan,Sweden,Stracciatella,0,3,0,6014
Dawn,Hoffman,173.74,Vanilla,Australia,Mint,0,2,0,5115
Doris,Ward,161.88,French Vanilla,Denmark,Vanilla,1,1,0,10492
Gabriel,Lane,171.55,French Vanilla,Canada,Strawberry,0,0,1,4248
Jeffrey,Nelson,173.49,French Vanilla,France,Mint,0,2,0,9813
Jennifer,Fuller,172.59,Mint Chocolate Chip,Norway,Chocolate,1,2,0,10232
Katherine,Johnson,172.14,French Vanilla,Italy,Stracciatella,1,2,0,7456
Adam,Harper,177.8,Rocky Road,Sweden,Pistachio,0,4,0,12136
William,Young,160.13,Pistachio,China,Mint,0,0,0,4265
Kevin,Thompson,182.41,Mint Chocolate Chip,Japan,Pistachio,1,0,0,8641
April,May,172.06,Neapolitan,China,Mint,0,1,0,7431
Thomas,Lambert,160.25,Butter Pecan,Norway,Pistachio,1,2,0,7432
Kathleen,Reese,175.38,Mint Chocolate Chip,China,Strawberry,0,0,0,10764
Kimberly,Serrano,166.76,Chocolate,Norway,Mint,1,1,0,6901
Samantha,Davis,178.12,Rocky Road,Italy,Vanilla,1,4,0,9331
Michelle,Reeves,184.57,Vanilla,Italy,Stracciatella,0,1,0,2664
Danielle,Chan,175.43,Butter Pecan,Italy,Pistachio,1,0,0,8958
Adam,Mitchell,179.31,Chocolate,France,Vanilla,1,2,0,5805
Nicholas,Reed,182.7,Butter Pecan,Norway,Chocolate,1,1,0,4930
Virginia,Powers,177.25,Pistachio,China,Vanilla,0,0,0,9998
Kimberly,Willis,177.39,French Vanilla,Norway,Pistachio,1,1,0,9387
Laurie,Clarke,164.62,Neapolitan,Denmark,Stracciatella,1,1,0,6207
Douglas,Mckinney,166.81,Pistachio,Germany,Chocolate,0,1,0,12267
Brian,Dennis,168.26,French Vanilla,France,Stracciatella,0,1,0,9951
Dwayne,Price,167.84,Rocky Road,Australia,Strawberry,0,1,1,3490
Christopher,Anderson,187.72,Cookies and Cream,Norway,Pistachio,1,4,0,10448
Jessica,Scott,176.31,Butter Pecan,Denmark,Pistachio,1,4,0,7777
Angela,Ross,184.23,Vanilla,UK,Strawberry,0,6,1,4724
Rodney,Mendez,158.54,Butter Pecan,Canada,Chocolate,0,1,1,6838
Erin,Gomez,170.56,Cookies and Cream,Italy,Stracciatella,1,3,0,8579
Andrea,Wheeler,156.99,Vanilla,France,Strawberry,0,0,0,11958
Hannah,Turner,163.82,Neapolitan,Germany,Strawberry,0,2,0,5010
Luis,Wallace,161.83,Strawberry,USA,Stracciatella,0,0,0,7160
Theresa,Black,160.81,Strawberry,Japan,Chocolate,0,1,0,10050
Barbara,Cisneros,171.91,Pistachio,Italy,Pistachio,0,1,0,3902
Donald,Snyder,175.65,Butter Pecan,USA,Vanilla,1,0,0,4911
Makayla,Baker,178.37,Butter Pecan,Japan,Strawberry,0,0,0,3941
Alexis,Welch,166.28,Butter Pecan,Norway,Chocolate,1,0,0,6392
Charles,Gonzalez,159.96,Cookies and Cream,Sweden,Mint,1,1,0,2877
Stephen,Brown,174.45,Rocky Road,Canada,Vanilla,0,1,0,6920
Jason,George,185.84,Cookies and Cream,UK,Strawberry,0,0,1,4021
Michelle,Lewis,166.56,Mint Chocolate Chip,Australia,Mint,0,0,0,4015
Rebecca,Hill,190.49,Neapolitan,Australia,Strawberry,0,0,0,8232
Nicole,Wells,179.32,Cookies and Cream,Germany,Vanilla,0,2,0,5514
Matthew,Landry,168.36,Butter Pecan,Italy,Pistachio,0,3,1,6011
Stephanie,Rodriguez,170.59,Chocolate,Finland,Mint,1,2,0,12495
Daniel,Morgan,180.47,Cookies and Cream,Canada,Vanilla,0,0,0,11743
Carl,Smith,175.39,Vanilla,Brazil,Mint,0,1,0,4632
Amanda,Maldonado,177.62,Vanilla,Canada,Pistachio,0,2,1,5247
Anthony,Rivas,169.69,Chocolate,Sweden,Stracciatella,0,2,0,11141
Shelly,Parker,171.76,Neapolitan,USA,Chocolate,0,0,0,11508
Kristin,Osborn,179.46,Cookies and Cream,Germany,Pistachio,0,4,0,7929
Jacob,Long,181.42,Rocky Road,Italy,Vanilla,0,2,0,7476
Nancy,Malone,159.48,Cookies and Cream,Canada,Chocolate,0,0,0,12704
Stacey,Sanchez,175.98,Neapolitan,Canada,Pistachio,0,1,1,11871
Shawn,Foster,185.21,Butter Pecan,Denmark,Mint,1,1,0,5904
Martin,Campbell,192.89,Rocky Road,UK,Pistachio,0,0,1,5388
Alyssa,Gibson,169.95,Mint Chocolate Chip,Denmark,Pistachio,1,3,0,9223
Jason,Henry,168.31,Pistachio,France,Pistachio,0,2,0,9357
Amanda,Brown,180.07,Pistachio,Brazil,Mint,0,1,1,10049
Victoria,Reeves,172.6,Strawberry,Australia,Strawberry,0,0,0,7372
Dawn,Berry,164.39,Strawberry,Finland,Pistachio,1,4,0,6182
Dorothy,Franco,172.56,French Vanilla,Brazil,Strawberry,0,2,0,13158
Kevin,Wallace,177.81,Rocky Road,UK,Pistachio,0,1,1,8076
James,Lee,169.09,French Vanilla,USA,Pistachio,1,0,0,2240
Jeffrey,Rose,184.03,Neapolitan,Norway,Vanilla,1,3,1,9628
Melody,Kim,188.24,Chocolate,Denmark,Chocolate,1,2,0,4883
William,Smith,168.39,Butter Pecan,Sweden,Chocolate,1,1,0,3946
Christina,York,163.06,Butter Pecan,Italy,Stracciatella,0,3,0,4032
Linda,Vargas,169.49,Vanilla,Sweden,Vanilla,1,2,0,8525
Carl,Ellis,164.3,Strawberry,Germany,Chocolate,1,6,1,16955
Erik,Robinson,165.01,Chocolate,Germany,Pistachio,0,1,0,8336
Kristopher,Ibarra,167.14,Butter Pecan,Canada,Chocolate,1,0,1,13233
Bradley,Navarro,170.08,French Vanilla,USA,Mint,1,1,0,7348
Heather,Wright,173.32,Butter Pecan,Australia,Stracciatella,0,1,1,7074
Christopher,Morrison,170.63,Rocky Road,UK,Mint,0,1,1,8337
Jamie,Patterson,178.32,Rocky Road,Italy,Pistachio,0,3,1,9335
Robin,Frazier,179.69,Rocky Road,USA,Chocolate,0,0,0,9646
Denise,Lee,179.47,Rocky Road,Italy,Chocolate,0,0,0,14657
Tyler,Garrison,171.95,Mint Chocolate Chip,Norway,Strawberry,1,2,0,8114
Wesley,Haynes,153.76,French Vanilla,Norway,Mint,1,0,0,3654
Adam,Glover,177.42,Cookies and Cream,Canada,Stracciatella,1,0,0,12392
Russell,Ferguson,161.38,Cookies and Cream,France,Strawberry,0,0,0,10990
Lisa,Deleon,164.91,Neapolitan,Denmark,Stracciatella,1,4,0,4042
Michael,Powell,163.42,French Vanilla,UK,Stracciatella,0,2,1,7391
Devin,Hooper,162.69,Chocolate,Denmark,Chocolate,1,3,0,10545
Alicia,Ballard,184.61,Cookies and Cream,Brazil,Vanilla,0,0,0,1259
Anna,Guzman,180.8,Chocolate,Japan,Chocolate,1,0,0,2370
Jamie,Choi,172.47,Mint Chocolate Chip,Sweden,Chocolate,1,1,1,9859
Brian,Bruce,174.22,Chocolate,Italy,Mint,0,3,0,7373
Elizabeth,Phillips,172.14,French Vanilla,Finland,Chocolate,1,3,0,14330
Dawn,Hampton,161.63,French Vanilla,Canada,Vanilla,0,1,0,4567
Stephen,Rivera,172.37,Rocky Road,Germany,Strawberry,0,2,1,8171
Tony,Jarvis,185.33,Vanilla,UK,Stracciatella,0,6,1,4902
Eric,Hoffman,175.55,Rocky Road,Finland,Pistachio,1,2,0,9193
Cory,Alexander,166.27,Neapolitan,Italy,Strawberry,0,3,1,5276
Nicholas,Murphy,168.74,Chocolate,Australia,Vanilla,0,1,0,12557
Devin,Wolfe,149.5,Chocolate,Australia,Stracciatella,0,0,0,3733
Nicole,Little,165.81,Cookies and Cream,Italy,Strawberry,1,2,0,11315
Joy,Tanner,170.47,French Vanilla,Norway,Mint,1,3,1,5151
Kristen,Shaw,178.24,Strawberry,Italy,Pistachio,1,1,0,12304
Matthew,Smith,171.0,Strawberry,Japan,Pistachio,0,0,1,4293
Jasmine,Harris,159.95,Mint Chocolate Chip,Australia,Mint,0,1,0,11493
Jason,Jones,176.78,Mint Chocolate Chip,Canada,Pistachio,0,2,0,10270
Gail,Garcia,182.95,Mint Chocolate Chip,USA,Mint,0,1,1,9837
Jodi,Chan,183.3,Cookies and Cream,Norway,Strawberry,1,0,1,11644
Chad,Nguyen,168.69,Vanilla,UK,Strawberry,0,2,1,6207
Vicki,Ferguson,174.6,Neapolitan,USA,Vanilla,1,1,0,11214
Morgan,Holt,168.47,Strawberry,France,Stracciatella,0,5,0,14060
Mark,Hamilton,155.93,Rocky Road,Finland,Pistachio,1,2,0,9102
Christopher,Olsen,164.28,Chocolate,UK,Vanilla,0,6,1,1699
Briana,Baker,164.75,Mint Chocolate Chip,Denmark,Stracciatella,1,4,0,11338
Ryan,Thomas,186.95,Rocky Road,Finland,Strawberry,1,1,0,11232
Erin,Bailey,170.79,Vanilla,UK,Vanilla,0,1,1,13961
Taylor,Kelley,156.99,French Vanilla,Denmark,Chocolate,1,1,0,6407
Jennifer,Wilson,165.84,Neapolitan,Australia,Pistachio,0,1,0,8130
Christine,Hudson,168.68,Pistachio,Sweden,Mint,1,1,0,9674
Jason,Martin,173.91,Neapolitan,Italy,Strawberry,0,2,1,7778
Laura,Edwards,194.54,Butter Pecan,Germany,Pistachio,1,4,0,6645
Gregory,Clark,180.92,Vanilla,Brazil,Stracciatella,0,0,0,10686
Sean,Hamilton,165.17,Mint Chocolate Chip,Finland,Mint,0,0,0,6105
Andrea,Johns,173.06,Butter Pecan,Canada,Mint,0,1,0,7452
Christopher,Simmons,155.4,French Vanilla,China,Mint,1,4,0,6546
Joseph,Robinson,166.66,Chocolate,China,Strawberry,1,0,0,2810
Collin,Harris,164.14,Mint Chocolate Chip,Sweden,Vanilla,1,1,0,7307
Anthony,Scott,180.05,French Vanilla,Finland,Chocolate,1,2,0,4390
Michelle,Tucker,160.29,Neapolitan,China,Mint,0,0,0,4873
Wesley,Castro,158.01,Pistachio,Norway,Mint,1,1,0,6861
Theresa,Frederick,170.15,Rocky Road,Italy,Mint,0,1,0,8996
Sylvia,Lewis,156.83,Pistachio,Sweden,Mint,1,2,0,4502
Amy,Krause,156.89,Chocolate,Finland,Pistachio,1,1,1,8054
Caitlyn,Moran,168.2,Strawberry,USA,Mint,0,0,0,7649
Jasmine,Hall,178.37,Mint Chocolate Chip,Canada,Strawberry,0,1,0,6093
Xavier,Barrett,165.2,Vanilla,Italy,Stracciatella,0,4,0,7853
Jessica,Conner,169.52,Chocolate,China,Vanilla,0,0,0,3784
Andrea,Wiggins,174.27,Cookies and Cream,Denmark,Mint,1,2,0,12688
Michael,Pham,163.03,French Vanilla,Finland,Pistachio,1,2,0,7178
Manuel,Thomas,160.97,Neapolitan,Finland,Vanilla,1,2,0,12430
Daniel,Richardson,186.11,Vanilla,Sweden,Pistachio,1,1,0,4496
Daisy,Williams,170.78,Chocolate,Australia,Mint,0,0,0,9141
Julie,Thomas,157.48,Cookies and Cream,USA,Chocolate,0,0,1,7427
Catherine,Jenkins,177.22,French Vanilla,Japan,Strawberry,0,1,1,11539
Sandra,Patton,161.17,Neapolitan,UK,Mint,0,1,1,8582
Martin,Buckley,164.24,Pistachio,Sweden,Mint,1,2,0,9604
Daniel,Hodges,157.17,Vanilla,Denmark,Vanilla,1,1,0,11686
Gregory,Watson,176.27,Chocolate,France,Strawberry,1,2,0,6031
Megan,Ingram,169.86,Strawberry,Japan,Chocolate,0,0,0,5801
Melanie,Jenkins,145.88,Mint Chocolate Chip,Italy,Stracciatella,1,2,0,6421
Brian,Perez,162.37,Neapolitan,Australia,Stracciatella,0,0,1,12165
Joseph,Ward,161.03,Rocky Road,Australia,Vanilla,0,0,0,10304
Allison,Hall,180.42,Vanilla,USA,Stracciatella,0,0,1,8646
Donald,Palmer,172.78,Chocolate,UK,Chocolate,1,3,1,7863
Julia,Hernandez,172.0,Chocolate,Norway,Chocolate,1,0,0,6727
Sara,Hernandez,168.33,Strawberry,Italy,Chocolate,0,1,0,6649
Thomas,Edwards,160.96,Strawberry,Japan,Vanilla,0,0,0,11771
George,Simmons,155.97,Butter Pecan,Japan,Mint,0,1,0,6080
Travis,Barr,152.37,Rocky Road,Canada,Chocolate,1,1,0,7501
Lindsay,Cline,182.83,Neapolitan,Finland,Vanilla,1,1,0,9516
Stephen,Archer,161.88,Mint Chocolate Chip,Australia,Vanilla,0,1,0,8587
Beth,Torres,158.07,Strawberry,Sweden,Chocolate,1,4,0,10628
Kimberly,Compton,180.84,Cookies and Cream,Australia,Stracciatella,0,0,0,12418
Christopher,Cortez,160.51,Butter Pecan,Italy,Vanilla,0,1,0,9921
Elizabeth,Webb,175.66,Chocolate,Japan,Stracciatella,1,0,1,7428
Jerry,Velez,167.98,Chocolate,Italy,Pistachio,1,3,0,11617
Andrew,Suarez,166.9,French Vanilla,Brazil,Mint,0,0,0,10332
Andrea,Allen,153.84,Cookies and Cream,Australia,Chocolate,0,1,1,9906
Faith,Sullivan,153.82,Pistachio,Australia,Pistachio,0,0,0,4647
Shelia,Allen,177.89,Pistachio,Germany,Mint,0,3,1,6413
Amber,Hebert,179.81,Strawberry,France,Pistachio,0,1,0,4830
Michael,Martin,184.32,Vanilla,Japan,Stracciatella,0,0,0,10341
Brenda,Brown,169.19,French Vanilla,Germany,Vanilla,0,1,0,3125
Michael,Lam,168.65,Rocky Road,Italy,Stracciatella,0,6,0,9400
Shelby,Warner,174.2,Strawberry,Denmark,Mint,1,2,0,9519
James,Evans,173.67,Mint Chocolate Chip,China,Pistachio,0,0,0,9270
Sabrina,Garza,173.93,Pistachio,Italy,Chocolate,1,3,0,14242
Rachel,Willis,177.51,Strawberry,Finland,Vanilla,1,3,1,6759
Aaron,Johnson,162.1,Strawberry,Italy,Strawberry,0,2,0,13663
Charles,Anderson,159.54,Pistachio,Norway,Strawberry,1,2,0,4765
Jasmine,Barrera,180.0,French Vanilla,Finland,Pistachio,1,3,0,6089
David,Leonard,179.01,Cookies and Cream,UK,Stracciatella,0,3,1,8571
Samuel,Torres,164.73,Cookies and Cream,Australia,Chocolate,0,0,0,9347
Ian,Harris,185.86,Pistachio,Australia,Pistachio,0,0,0,8176
John,Mccullough,197.82,Chocolate,Australia,Strawberry,0,0,0,9340
Peggy,Smith,160.44,Chocolate,China,Pistachio,1,1,0,7350
Robert,Becker,158.66,Rocky Road,Denmark,Pistachio,1,4,0,6109
Becky,Smith,165.73,Chocolate,Brazil,Mint,1,0,0,11472
Dave,Valdez,162.07,French Vanilla,China,Chocolate,1,0,1,11859
Melissa,Davis,180.44,Strawberry,Norway,Chocolate,1,1,0,3456
Deanna,Perez,173.73,Pistachio,UK,Mint,0,4,1,8964
Ronald,Lawrence,177.52,Cookies and Cream,France,Mint,0,3,0,5800
Robert,Robertson,165.14,Strawberry,USA,Strawberry,0,1,0,13454
Donna,Morris,147.85,Chocolate,Norway,Mint,1,3,0,7830
Rebecca,King,174.73,Strawberry,Norway,Mint,1,2,1,11656
Chelsea,Evans,157.08,Rocky Road,Brazil,Stracciatella,0,0,0,7716
Laura,Hampton,170.53,Mint Chocolate Chip,Denmark,Stracciatella,1,4,0,9258
Elizabeth,Mann,159.23,Butter Pecan,Germany,Mint,0,1,0,11847
Julie,Kennedy,157.27,Chocolate,USA,Chocolate,1,1,0,11263
Ryan,Walker,185.31,Chocolate,Japan,Pistachio,0,0,0,4514
Eric,Peterson,158.17,Strawberry,China,Vanilla,1,0,0,7150
Molly,King,170.48,Vanilla,Finland,Mint,1,0,0,11146
April,Russo,178.33,Vanilla,Canada,Pistachio,1,0,1,12966
Steven,Phelps,190.77,Chocolate,Australia,Vanilla,0,1,0,6218
Gregory,Ortiz,160.79,Cookies and Cream,Norway,Chocolate,1,2,0,7681
Steven,Galvan,168.35,Cookies and Cream,Brazil,Stracciatella,1,1,1,2806
